osm_id,osm_type,building_material,addr_housenumber,name,roof_material,addr_street,building,access_roof,longitude,latitude,geom_type
793365359,ways_poly,,,,,,yes,,5.14909267321178,7.29532743581113,POLYGON
584170124,ways_poly,,,Physics lab,,,yes,,5.14904481827318,7.2961365239745,POLYGON
584170105,ways_poly,,,lecture Room,,,yes,,5.14839491865529,7.2961292365007,POLYGON
584170106,ways_poly,,,Physics and physics Electronic,,,yes,,5.14839372542475,7.2957965694276,POLYGON
783691629,ways_poly,,,,,,yes,,5.14838909523409,7.29515900004875,POLYGON
792325737,ways_poly,,,,,,yes,,5.1466587356376,7.29501762500655,POLYGON
713604426,ways_poly,,,CRC,,,yes,,5.14598697054884,7.2958229186755,POLYGON
713604428,ways_poly,,,,,,yes,,5.1461751,7.29563495,POLYGON
713604427,ways_poly,,,CBE,,"Oduduwa Road, FUTA",yes,,5.14635064346759,7.29582553035924,POLYGON
584170173,ways_poly,,,FUTA secondary Shool Boarding House,,,yes,,5.14667645085552,7.29315532213283,POLYGON
713604417,ways_poly,,,,,,yes,,5.14661131202236,7.29358827610512,POLYGON
584170112,ways_poly,,,,,,yes,,5.14782302359516,7.29396187972147,POLYGON
792712228,ways_poly,,,Akindeko hostel's toilet,,,yes,,5.14787103339974,7.29470077072008,POLYGON
716662922,ways_poly,,,,,,yes,,5.14768674900554,7.29389237336119,POLYGON
716662921,ways_poly,,,,,,yes,,5.14762927598919,7.29389726549696,POLYGON
584170116,ways_poly,,,,,,yes,,5.14769096761133,7.29369617817657,POLYGON
584170117,ways_poly,,,,,,yes,,5.14783200479769,7.29368627540311,POLYGON
797878082,ways_poly,,,,,,yes,,5.14320275,7.29565445,POLYGON
797878083,ways_poly,,,,,,yes,,5.14325945,7.29565425,POLYGON
797878084,ways_poly,,,,,,yes,,5.1433550255845,7.29564725977978,POLYGON
1039275501,ways_poly,,,,,,yes,,5.14386752325429,7.29643954553521,POLYGON
716663068,ways_poly,,,,,,yes,,5.14920525564765,7.2970434789219,POLYGON
793366358,ways_poly,,,,,,yes,,5.14889460896669,7.29672270856512,POLYGON
713604432,ways_poly,,,compound,,,yes,,5.14345987739374,7.29660430929944,POLYGON
713604429,ways_poly,,,,,,yes,,5.14656237186919,7.29708075160625,POLYGON
713604430,ways_poly,,,,,,yes,,5.14690069612334,7.29694490964157,POLYGON
793542808,ways_poly,,,,,,yes,,5.14654276552244,7.29744143205036,POLYGON
783273204,ways_poly,,,Lecture house,,,yes,,5.14831062566383,7.29754321789108,POLYGON
783273198,ways_poly,,,,,,yes,,5.14759772730751,7.29785114323112,POLYGON
799305088,ways_poly,,,,,,yes,,5.14758363508649,7.29750249012505,POLYGON
783273206,ways_poly,,,,,,yes,,5.14754352566383,7.29727981789108,POLYGON
783273205,ways_poly,,,,,,yes,,5.14799682566383,7.29730641789108,POLYGON
716663072,ways_poly,,,Lecture House,,,yes,,5.14868295627714,7.29704321082298,POLYGON
783273203,ways_poly,,,Lecture House,,,yes,,5.14866472566383,7.29734101789108,POLYGON
1169558005,ways_poly,,,,,,yes,,5.14548855,7.29754025,POLYGON
793365356,ways_poly,,,School of Health and Health Technology (SHHT),,,yes,,5.14891894700249,7.29559517489669,POLYGON
794645114,ways_poly,,,,,,yes,,5.12411946803129,7.30266093960875,POLYGON
793368523,ways_poly,,,,,,house,,5.1236519,7.30373795,POLYGON
708761381,ways_poly,,,Security house,,,yes,,5.1241669556421,7.30355498181258,POLYGON
708761382,ways_poly,,,Security house,,Usman Dan Fodio Road,yes,,5.1243887,7.3030715,POLYGON
473857473,ways_poly,,,,,,yes,,5.11990741680407,7.31529916313046,POLYGON
473857964,ways_poly,,,,,,yes,,5.11951599202837,7.31528331329259,POLYGON
794255718,ways_poly,,,,,,yes,,5.13417963275652,7.30509546159111,POLYGON
711995945,ways_poly,,,Sport sitting ground,,,roof,,5.1365938307233,7.30560551609517,POLYGON
794643781,ways_poly,,,,,,yes,,5.13709219297577,7.30662736799478,POLYGON
711995944,ways_poly,,,,,,yes,,5.13774029274515,7.30675310722255,POLYGON
1215519014,ways_poly,,,,,,yes,,5.1415925,7.3050638,POLYGON
1169557943,ways_poly,,,School of Computing (SCOM),,,yes,,5.13238817509709,7.30461038064753,POLYGON
502927357,ways_poly,,,Student Union Building(PART),,,yes,,5.13947042995764,7.304520124654,POLYGON
510548906,ways_poly,,,st Albert chatholic church,,,yes,,5.13455165,7.30643455,POLYGON
794244937,ways_poly,,,,,,yes,,5.13507214252658,7.30640940237648,POLYGON
711995942,ways_poly,,,ASUU secretariat FUTA,,Usman Dan Fodio Road,yes,,5.13752147727333,7.30728082175213,POLYGON
793231758,ways_poly,,,,,,yes,,5.13927754006986,7.30645494787141,POLYGON
791584150,ways_poly,,,,,,yes,,5.13913666112242,7.30658837096239,POLYGON
510548904,ways_poly,,,,,,yes,,5.13390483795194,7.30575622272793,POLYGON
793231759,ways_poly,,,,,,yes,,5.13932940418994,7.30649650544693,POLYGON
793231760,ways_poly,,,,,,yes,,5.13935211985181,7.30648872862545,POLYGON
793775096,ways_poly,,,ABANDONED WAREHOUSE,,,warehouse,,5.14038102884484,7.30501837451528,POLYGON
